"Tipo Vehículo","Capacidad en Centrimetros Cubicos","Tipo de Transmisión","Kilometros Recorridos","Tipo Combustible","Asientos","Consumo de Combustible en Kilometros por litro","Año Modelo","Valor de Reventa"
"Pilot SUV","1199","Manual","46566","Petrol","5","17.5","2019","27240"
"Pilot SUV","1199","Manual","43588","Petrol","5","17.5","2017","27175"
"Pilot SUV","1199","Manual","29824","Petrol","5","17.5","2017","27042"
"Pilot SUV","1498","Manual","71096","Diesel","5","25.5","2017","26958"
"Pilot SUV","1199","Manual","29919","Petrol","5","17.5","2017","27168"
"Pilot SUV","1498","Manual","53000","Diesel","5","25.5","2017","26986"
"Pilot SUV","1199","Manual","45000","Petrol","5","17.5","2018","27229"
"Pilot SUV","1199","Manual","55450","Petrol","5","17.5","2017","26909"
"Pilot SUV","1199","Manual","30742","Petrol","5","17.5","2018","27199"
"Pilot SUV","1498","Manual","46830","Diesel","5","25.5","2018","27271"
"Pilot SUV","1199","Manual","30742","Petrol","5","17.5","2018","27163"
"Pilot SUV","1199","Manual","29640","Petrol","5","17.5","2017","27112"
"Pilot SUV","1498","Manual","49647","Diesel","5","25.5","2018","27061"
"Pilot SUV","1497","Automatic","50000","Petrol","7","15.4","2018","27013"
"Pilot SUV","1498","Manual","86912","Diesel","7","21.9","2018","27247"
"Pilot SUV","1199","Manual","108918","Petrol","5","17.5","2018","27175"
"Pilot SUV","1498","Manual","64460","Diesel","5","25.5","2019","27235"
"Pilot SUV","1498","Manual","95801","Diesel","5","25.5","2017","27168"
"Pilot SUV","1497","Automatic","114831","Petrol","7","15.4","2016","27099"
"Pilot SUV","1199","Manual","14000","Petrol","5","17.5","2018","27247"
"Pilot SUV","1199","Manual","39000","Petrol","5","17.5","2017","26937"
"Pilot SUV","1199","Manual","6000","Petrol","5","16.5","2021","27391"
"Pilot SUV","1199","Manual","40000","Petrol","5","17.5","2018","27277"
"Pilot SUV","1199","Manual","15000","Petrol","5","17.5","2019","27320"
"Pilot SUV","1498","Manual","80000","Diesel","5","25.5","2018","27241"
"Pilot SUV","1498","Manual","30000","Diesel","5","25.5","2017","26972"
"Pilot SUV","1199","Manual","67230","Petrol","5","17.5","2018","27205"
"Pilot SUV","1498","Manual","110000","Diesel","7","21.9","2019","27285"
"Pilot SUV","1199","Manual","20000","Petrol","5","16.5","2022","27469"
"Pilot SUV","1497","Manual","40000","Petrol","7","15.4","2016","27187"
"Pilot SUV","1199","Manual","30300","Petrol","5","16.5","2021","27304"
"Pilot SUV","1498","Manual","69550","Diesel","5","23.7","2021","27400"
"Pilot SUV","1498","Manual","72685","Diesel","5","25.5","2017","27203"
"Pilot SUV","1497","Manual","50000","Petrol","7","15.4","2017","27196"
"Pilot SUV","1199","Manual","50000","Petrol","5","17.5","2019","27325"
"Pilot SUV","1498","Manual","59266","Diesel","5","25.5","2017","27182"
"Pilot SUV","1199","Manual","12724","Petrol","5","17.5","2018","27295"
"Pilot SUV","1199","Manual","27116","Petrol","5","17.5","2018","27133"
"Pilot SUV","1199","Manual","42000","Petrol","5","17.5","2019","27135"
"Pilot SUV","1498","Manual","52000","Diesel","5","25.5","2017","27007"
"Pilot SUV","1199","Manual","72452","Petrol","5","17.5","2017","26965"
"Pilot SUV","1199","Manual","49538","Petrol","5","17.5","2018","27097"
"Pilot SUV","1497","Automatic","79061","Petrol","7","15.4","2016","26931"
"Pilot SUV","1199","Manual","70000","Petrol","5","17.5","2017","26986"
"Pilot SUV","1199","Manual","36876","Petrol","5","17.5","2019","27320"
"Pilot SUV","1199","Manual","59930","Petrol","5","17.5","2017","27238"
"Pilot SUV","1199","Manual","65507","Petrol","5","17.5","2017","27021"
"Pilot SUV","1497","Manual","40000","Petrol","7","15.4","2018","27205"
"Pilot SUV","1199","Manual","51338","Petrol","5","17.5","2018","27157"
"Pilot SUV","1498","Manual","62997","Diesel","5","25.5","2017","26930"
"Pilot SUV","1199","Manual","40752","Petrol","5","17.5","2017","27182"
